item_number,条目编号,A,CVI,PC值,K+
1,1.咱们,6,1,0.016,1
2,2.咱,6,1,0.016,1
3,3.吾等,6,1,0.016,1
4,4.吾人,4,0.666666667,0.234,0.564838991
5,5.我们,6,1,0.016,1
6,6.我俩,5,0.833333333,0.094,0.816041206
7,7.我们俩,5,0.833333333,0.094,0.816041206
8,8.吾辈,6,1,0.016,1
9,9.家人,6,1,0.016,1
10,10.家里人,6,1,0.016,1
11,11.家庭,6,1,0.016,1
12,12.家族,6,1,0.016,1
13,13.家,6,1,0.016,1
14,14.亲情,6,1,0.016,1
15,15.亲人,6,1,0.016,1
16,16.帮助,6,1,0.016,1
17,17.互助,6,1,0.016,1
18,18.互相帮助,6,1,0.016,1
19,19.助人,6,1,0.016,1
20,20.合作,6,1,0.016,1
21,21.协作,6,1,0.016,1
22,22.抱团,6,1,0.016,1
23,23.共同,6,1,0.016,1
24,24.一起,6,1,0.016,1
25,25.团体,6,1,0.016,1
26,26.团队,6,1,0.016,1
27,27.站队,4,0.666666667,0.234,0.564838991
28,28.传统,3,0.5,0.312,0.273255814
29,29.群众,5,0.833333333,0.094,0.816041206
30,30.友情,6,1,0.016,1
31,31.友谊,6,1,0.016,1
32,32.和谐,5,0.833333333,0.094,0.816041206
33,33.集体,6,1,0.016,1
34,34.妥协,4,0.666666667,0.234,0.564838991
35,35.共享,6,1,0.016,1
36,36.分享,6,1,0.016,1
37,37.团结,6,1,0.016,1
38,38.统一,6,1,0.016,1
39,39.义务,5,0.833333333,0.094,0.816041206
40,40.责任,5,0.833333333,0.094,0.816041206
41,41.奉献,6,1,0.016,1
42,42.亲近,6,1,0.016,1
43,43.谦虚,3,0.5,0.312,0.273255814
44,44.谦逊,3,0.5,0.312,0.273255814
45,45.无私,5,0.833333333,0.094,0.816041206
46,46.归属,6,1,0.016,1
47,47.归属感,6,1,0.016,1
48,48.共度,6,1,0.016,1
49,49.服从,6,1,0.016,1
50,50.共赢,6,1,0.016,1
51,51.牺牲,6,1,0.016,1
52,52.班级,6,1,0.016,1
53,53.我国,6,1,0.016,1
54,54.国家,6,1,0.016,1
55,55.组织,5,0.833333333,0.094,0.816041206
56,56.集体荣誉,6,1,0.016,1
57,57.凝聚力,6,1,0.016,1
58,58.凝聚,6,1,0.016,1
59,59.一致,6,1,0.016,1
60,60.依赖,6,1,0.016,1
61,61.众志成城,6,1,0.016,1
62,62.同舟共济,6,1,0.016,1
63,63.万众一心,6,1,0.016,1
64,64.我妈,5,0.833333333,0.094,0.816041206
65,65.我爸,5,0.833333333,0.094,0.816041206
66,66.我姐,5,0.833333333,0.094,0.816041206
67,67.我妹,5,0.833333333,0.094,0.816041206
68,68.为荣,5,0.833333333,0.094,0.816041206
69,69.爆款,3,0.5,0.312,0.273255814
70,70.同款,4,0.666666667,0.234,0.564838991
71,71.爸妈,5,0.833333333,0.094,0.816041206
72,72.爸爸妈妈,5,0.833333333,0.094,0.816041206
73,73.舍友,6,1,0.016,1
74,74.我和爸爸,5,0.833333333,0.094,0.816041206
75,75.我和妈妈,5,0.833333333,0.094,0.816041206
76,76.我和姐姐,5,0.833333333,0.094,0.816041206
77,77.我和弟弟,5,0.833333333,0.094,0.816041206
78,78.我和哥哥,5,0.833333333,0.094,0.816041206
79,79.都行,4,0.666666667,0.234,0.564838991
80,80.全员,6,1,0.016,1
81,81.爷爷奶奶,5,0.833333333,0.094,0.816041206
82,82.团建,6,1,0.016,1
83,83.朋友,6,1,0.016,1
84,84.闺蜜,6,1,0.016,1
85,85.集美,6,1,0.016,1
86,86.学弟,5,0.833333333,0.094,0.816041206
87,87.回家,6,1,0.016,1
88,88.大家,6,1,0.016,1
89,89.加油,4,0.666666667,0.234,0.564838991
90,90.参与,6,1,0.016,1
