,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4
1000634072用户数据,0.614247929,0.527559874,0.553913715,0.542741916,0.614247929,0.530832542,0.544391462,0.584497213,0.456676555,0.5223266,0.551713569,0.485428745,0.599654082,0.52137433,0.549213288,0.559412345,0.533108101,0.558215875,0.558706029,0.519342085
1015711295用户数据,0.617837531,0.640402123,0.601888884,0.543543692,0.636802171,0.570898346,0.616345949,0.644698577,0.618207154,0.573128635,0.669420438,0.65982248,0.611609034,0.664936016,0.590082526,0.701713701,0.702817339,0.616411195,0.664199171,0.625839613
1018524034用户数据,0.583067755,0.60236721,0.616944886,0.587382249,0.60777122,0.625966168,0.595409335,0.572701742,0.603284157,0.551797205,0.614153962,0.606697695,0.5640708,0.588617882,0.608978797,0.593350728,0.57670115,0.600303407,0.608766695,0.617342131
1019071737用户数据,0.594152491,0.649964873,0.605923338,0.590821681,0.605333774,0.609768636,0.605271594,0.627039032,0.628267193,0.607203693,0.620608289,0.624132285,0.616315372,0.623772732,0.617754545,0.586261108,0.575208024,0.598153797,0.599004686,0.602986792
1022210647用户数据,0.585973035,0.624275403,0.621999402,0.613321854,0.629667115,0.597670422,0.598194254,0.631568109,0.60988778,0.625582853,0.606524914,0.598645641,0.577912904,0.620085477,0.613384563,0.632959392,0.618517,0.592743208,0.602049401,0.540558417
1028932595用户数据,0.616732081,0.634437096,0.633469261,0.519895183,0.609799953,0.673996497,0.587984546,0.620520304,0.600530501,0.609050941,0.613333133,0.618560908,0.600696561,0.750867608,0.636833993,0.59545768,0.639022974,0.611727583,0.635261709,0.579042189
1030735883用户数据,0.587021726,0.614247929,0.541858295,0.636072689,0.59518078,0.608113829,0.643856222,0.615129232,0.581228051,0.611900464,0.594094518,0.619737964,0.681900781,0.601734511,0.62190726,0.61121303,0.597221977,0.625691069,0.602657867,0.595379745
1039775034用户数据,0.687944752,0.638782992,0.587877939,0.643414072,0.547272244,0.577784264,0.614247929,0.614247929,0.562257725,0.63204694,0.60826372,0.437879607,0.506078407,0.444820299,0.544523844,0.61176209,0.555060531,0.621604748,0.568971447,0.604747931
1043699733用户数据,0.582845296,0.605372947,0.601593237,0.603914348,0.617446172,0.584139869,0.614247929,0.597229899,0.615819686,0.59152617,0.577371958,0.581346165,0.583165091,0.580734263,0.60093635,0.603662423,0.601716136,0.5945629,0.599214298,0.583816866
1045479970用户数据,0.592779922,0.611206905,0.620420044,0.633535098,0.603772541,0.611471285,0.608670596,0.635715624,0.637471396,0.588514963,0.624849881,0.62933824,0.595816571,0.604885184,0.610100938,0.598142737,0.596419806,0.584757757,0.603694547,0.606682894
